,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
Saline IP,0,0,0,0,0,0,0,0,0,0,1,1
Saline IP,0,0,0,0,0,1,1,1,1,1,1,1
Saline IP,0,0,1,1,1,1,1,1,1,1,1,1
Saline IP,0,0,0,0,0,1,1,1,1,1,1,1
Saline IP,0,1,0,0,0,0,1,1,1,1,1,0
Saline IP,0,0,0,1,0,0,1,0,0,0,0,0
Saline IP,0,0,0,0,0,0,0,0,0,0,0,0
Saline IP,0,0,0,0,0,0,0,0,0,0,0,0
Saline IP,0,0,0,0,0,0,0,0,0,0,0,0
Uninjected,0,0,0,0,1,1,1,1,1,1,1,1
Uninjected,0,0,0,0,1,0,0,1,0,1,0,1
Uninjected,1,1,1,1,1,1,1,1,1,1,1,1
Uninjected,0,0,0,0,0,1,1,1,1,1,1,1
Uninjected,0,0,1,1,1,1,1,1,1,1,1,1
Uninjected,0,0,1,1,1,1,1,1,1,1,1,1
Uninjected,1,0,0,1,1,1,1,1,1,1,1,1
Uninjected,0,0,0,0,1,1,1,1,0,1,1,1
Uninjected,0,0,1,1,1,1,1,1,1,1,1,1
Uninjected,1,1,1,1,1,1,1,1,1,1,1,1
Uninjected,0,0,0,0,0,0,0,0,0,0,0,0
Uninjected,0,0,0,0,0,0,0,0,0,0,0,0
Uninjected,0,0,0,0,0,0,0,0,0,0,0,0
Uninjected,0,0,0,0,0,0,0,0,0,0,0,0
Uninjected,0,0,0,0,0,0,0,0,0,0,0,0
Uninjected,0,0,0,0,0,0,0,0,0,0,0,0
HighMDZ,1,1,1,1,1,1,1,1,1,1,1,1
HighMDZ,0,0,1,1,0,0,1,1,1,1,0,0
HighMDZ,0,0,0,0,0,0,0,0,1,1,1,1
HighMDZ,0,1,1,1,1,1,1,1,1,1,1,1
HighMDZ,0,0,1,1,1,0,1,1,1,1,1,1
HighMDZ,1,0,0,0,1,1,1,1,1,1,1,1
HighMDZ,1,0,0,1,0,1,1,0,0,0,1,1
HighMDZ,0,0,0,0,0,0,0,0,0,0,0,0
HighMDZ,0,0,0,0,0,0,0,0,0,0,0,0
HighMDZ,1,0,1,1,0,0,0,0,1,1,0,0
HighMDZ,0,0,0,0,0,1,1,0,0,0,0,0
HighMDZ,0,1,1,0,0,0,0,0,1,1,0,0
HighMDZ,0,1,1,0,0,0,0,0,0,0,0,0
HighMDZ,0,1,0,0,0,0,0,0,0,0,0,1
HighMDZ,0,0,1,0,1,0,0,0,0,0,0,0
HighMDZ,0,0,0,0,0,0,1,0,0,0,0,0
LowMDZ,1,1,1,1,0,1,1,1,1,1,1,1
LowMDZ,0,0,0,0,0,0,1,1,1,1,1,1
LowMDZ,0,0,1,1,0,1,1,1,1,1,1,1
LowMDZ,1,1,1,1,1,1,1,1,1,1,1,1
LowMDZ,0,0,0,0,0,0,0,0,1,1,1,1
LowMDZ,0,0,1,0,1,1,1,0,1,1,1,1
LowMDZ,0,0,0,0,1,1,1,1,1,1,1,1
LowMDZ,1,1,1,1,1,1,1,1,1,1,1,1
LowMDZ,1,1,1,1,1,1,1,1,1,1,1,1
LowMDZ,0,0,1,0,0,0,0,0,0,0,1,0
LowMDZ,1,1,0,0,1,1,0,0,0,0,0,0
LowMDZ,0,1,1,0,1,0,0,1,0,0,0,0
LowMDZ,0,0,0,0,0,0,0,0,0,0,0,0
LowMDZ,0,0,1,0,0,0,0,0,0,0,0,0
LowMDZ,0,0,0,0,0,0,0,0,0,0,0,0
LowMDZ,0,0,0,0,0,0,0,1,0,0,0,0
Anesthesia,0,0,0,0,0,0,0,0,0,1,1,1
Anesthesia,0,1,1,1,1,1,1,1,1,1,1,1
Anesthesia,0,0,0,0,0,0,0,0,0,0,0,0
Anesthesia,0,0,0,0,0,0,1,1,1,0,1,1
Anesthesia,0,0,0,0,0,0,1,1,1,1,0,1
Anesthesia,1,1,1,1,1,1,1,1,1,1,1,1
Anesthesia,0,0,1,0,1,0,1,1,1,1,1,1
Anesthesia,0,0,1,0,0,0,0,0,0,0,0,0
SedMDZ,0,0,1,1,1,1,1,1,1,1,1,1
SedMDZ,0,1,1,1,1,1,1,1,1,1,1,1
SedMDZ,0,0,1,1,1,1,1,1,1,1,1,1
SedMDZ,0,1,1,1,0,0,1,1,1,0,1,1
SedMDZ,0,1,0,0,0,0,0,1,0,0,0,0
SedMDZ,0,0,0,1,1,1,1,1,1,1,1,1
SedMDZ,0,0,0,1,1,1,1,1,1,1,1,1
SedMDZ,0,0,1,1,1,1,1,1,1,1,1,1

